48.5000000 1.0000000  43.755
48.5000000 1.0166667  43.746
48.5000000 1.0333333  43.737
48.5000000 1.0500000  43.718
48.5000000 1.0666667  43.708
48.5000000 1.0833333  43.690
48.5000000 1.1000000  43.671
48.5000000 1.1166667  43.662
48.5000000 1.1333333  43.642
48.5000000 1.1500000  43.633
48.5000000 1.1666667  43.615
48.5000000 1.1833333  43.606
48.5000000 1.2000000  43.588
48.5000000 1.2166667  43.570
48.5000000 1.2333333  43.562
48.5000000 1.2500000  43.545
48.5000000 1.2666667  43.526
48.5000000 1.2833333  43.507
48.5000000 1.3000000  43.490
48.5000000 1.3166667  43.471
48.5000000 1.3333333  43.452
48.5000000 1.3500000  43.434
48.5000000 1.3666667  43.413
48.5000000 1.3833333  43.393
48.5000000 1.4000000  43.372
48.5000000 1.4166667  43.352
48.5000000 1.4333333  43.332
48.5000000 1.4500000  43.312
48.5000000 1.4666667  43.291
48.5000000 1.4833333  43.271
48.5000000 1.5000000  43.250
48.5000000 1.5166667  43.230
48.5000000 1.5333333  43.210
48.5000000 1.5500000  43.189
48.5000000 1.5666667  43.168
48.5000000 1.5833333  43.149
48.5000000 1.6000000  43.128
48.5000000 1.6166667  43.108
48.5000000 1.6333333  43.088
48.5000000 1.6500000  43.068
48.5000000 1.6666667  43.057
48.5000000 1.6833333  43.038
48.5000000 1.7000000  43.018
48.5000000 1.7166667  43.009
48.5000000 1.7333333  42.990
48.5000000 1.7500000  42.970
48.5000000 1.7666667  42.961
48.5000000 1.7833333  42.942
48.5000000 1.8000000  42.923
48.5000000 1.8166667  42.914
48.5000000 1.8333333  42.906
48.5000000 1.8500000  42.887
48.5000000 1.8666667  42.877
48.5000000 1.8833333  42.879
48.5000000 1.9000000  42.869
48.5000000 1.9166667  42.849
48.5000000 1.9333333  42.838
48.5000000 1.9500000  42.817
48.5000000 1.9666667  42.807
48.5000000 1.9833333  42.796
48.5000000 2.0000000  42.783
48.5000000 2.0166667  42.781
48.5000000 2.0333333  42.770
48.5000000 2.0500000  42.768
48.5000000 2.0666667  42.745
48.5000000 2.0833333  42.732
48.5000000 2.1000000  42.720
48.5000000 2.1166667  42.717
48.5000000 2.1333333  42.705
48.5000000 2.1500000  42.693
48.5000000 2.1666667  42.690
48.5000000 2.1833333  42.678
48.5000000 2.2000000  42.666
48.5000000 2.2166667  42.665
48.5000000 2.2333333  42.653
48.5000000 2.2500000  42.641
48.5000000 2.2666667  42.639
48.5000000 2.2833333  42.638
48.5000000 2.3000000  42.627
48.5000000 2.3166667  42.627
48.5000000 2.3333333  42.627
48.5000000 2.3500000  42.618
48.5000000 2.3666667  42.623
48.5000000 2.3833333  42.626
48.5000000 2.4000000  42.620
48.5000000 2.4166667  42.624
48.5000000 2.4333333  42.628
48.5000000 2.4500000  42.631
48.5000000 2.4666667  42.634
48.5000000 2.4833333  42.636
48.5000000 2.5000000  42.639
48.5000000 2.5166667  42.641
48.5000000 2.5333333  42.653
48.5000000 2.5500000  42.657
48.5000000 2.5666667  42.660
48.5000000 2.5833333  42.673
48.5000000 2.6000000  42.676
48.5000000 2.6166667  42.688
48.5000000 2.6333333  42.691
48.5000000 2.6500000  42.704
48.5000000 2.6666667  42.716
48.5000000 2.6833333  42.727
48.5000000 2.7000000  42.740
48.5000000 2.7166667  42.752
48.5000000 2.7333333  42.763
48.5000000 2.7500000  42.775
48.5000000 2.7666667  42.787
48.5000000 2.7833333  42.799
48.5000000 2.8000000  42.811
48.5000000 2.8166667  42.824
48.5000000 2.8333333  42.836
48.5000000 2.8500000  42.849
48.5000000 2.8666667  42.861
48.5000000 2.8833333  42.873
48.5000000 2.9000000  42.884
48.5000000 2.9166667  42.904
48.5000000 2.9333333  42.916
48.5000000 2.9500000  42.927
48.5000000 2.9666667  42.937
48.5000000 2.9833333  42.947
48.5000000 3.0000000  42.958
48.5000000 3.0166667  42.979
48.5000000 3.0333333  42.988
48.5000000 3.0500000  42.999
48.5000000 3.0666667  43.008
48.5000000 3.0833333  43.016
48.5000000 3.1000000  43.023
48.5000000 3.1166667  43.030
48.5000000 3.1333333  43.037
48.5000000 3.1500000  43.044
48.5000000 3.1666667  43.050
48.5000000 3.1833333  43.067
48.5000000 3.2000000  43.073
48.5000000 3.2166667  43.079
48.5000000 3.2333333  43.084
48.5000000 3.2500000  43.091
48.5000000 3.2666667  43.107
48.5000000 3.2833333  43.112
48.5000000 3.3000000  43.118
48.5000000 3.3166667  43.133
48.5000000 3.3333333  43.137
48.5000000 3.3500000  43.140
48.5000000 3.3666667  43.143
48.5000000 3.3833333  43.146
48.5000000 3.4000000  43.148
48.5000000 3.4166667  43.161
48.5000000 3.4333333  43.164
48.5000000 3.4500000  43.175
48.5000000 3.4666667  43.178
48.5000000 3.4833333  43.190
48.5000000 3.5000000  43.193
48.5000000 3.5166667  43.197
48.5000000 3.5333333  43.212
48.5000000 3.5500000  43.217
48.5000000 3.5666667  43.233
48.5000000 3.5833333  43.249
48.5000000 3.6000000  43.256
48.5000000 3.6166667  43.262
48.5000000 3.6333333  43.277
48.5000000 3.6500000  43.283
48.5000000 3.6666667  43.299
48.5000000 3.6833333  43.304
48.5000000 3.7000000  43.320
48.5000000 3.7166667  43.337
48.5000000 3.7333333  43.343
48.5000000 3.7500000  43.361
48.5000000 3.7666667  43.369
48.5000000 3.7833333  43.387
48.5000000 3.8000000  43.395
48.5000000 3.8166667  43.415
48.5000000 3.8333333  43.423
48.5000000 3.8500000  43.442
48.5000000 3.8666667  43.462
48.5000000 3.8833333  43.482
48.5000000 3.9000000  43.493
48.5000000 3.9166667  43.506
48.5000000 3.9333333  43.527
48.5000000 3.9500000  43.540
48.5000000 3.9666667  43.563
48.5000000 3.9833333  43.576
48.5000000 4.0000000  43.598
48.5000000 4.0166667  43.621
48.5000000 4.0333333  43.634
48.5000000 4.0500000  43.656
48.5000000 4.0666667  43.678
48.5000000 4.0833333  43.691
48.5000000 4.1000000  43.714
48.5000000 4.1166667  43.737
48.5000000 4.1333333  43.759
48.5000000 4.1500000  43.781
48.5000000 4.1666667  43.804
48.5000000 4.1833333  43.816
48.5000000 4.2000000  43.837
48.5000000 4.2166667  43.860
48.5000000 4.2333333  43.880
48.5000000 4.2500000  43.901
48.5000000 4.2666667  43.921
48.5000000 4.2833333  43.950
48.5000000 4.3000000  43.968
48.5000000 4.3166667  43.988
48.5000000 4.3333333  44.007
48.5000000 4.3500000  44.026
48.5000000 4.3666667  44.046
48.5000000 4.3833333  44.065
48.5000000 4.4000000  44.085
48.5000000 4.4166667  44.105
48.5000000 4.4333333  44.135
48.5000000 4.4500000  44.155
48.5000000 4.4666667  44.175
48.5000000 4.4833333  44.196
48.5000000 4.5000000  44.216
48.5000000 4.5166667  44.236
48.5000000 4.5333333  44.256
48.5000000 4.5500000  44.275
48.5000000 4.5666667  44.293
48.5000000 4.5833333  44.313
48.5000000 4.6000000  44.333
48.5000000 4.6166667  44.352
48.5000000 4.6333333  44.372
48.5000000 4.6500000  44.393
48.5000000 4.6666667  44.414
48.5000000 4.6833333  44.426
48.5000000 4.7000000  44.448
48.5000000 4.7166667  44.470
48.5000000 4.7333333  44.484
48.5000000 4.7500000  44.507
48.5000000 4.7666667  44.520
48.5000000 4.7833333  44.545
48.5000000 4.8000000  44.570
48.5000000 4.8166667  44.595
48.5000000 4.8333333  44.620
48.5000000 4.8500000  44.645
48.5000000 4.8666667  44.669
48.5000000 4.8833333  44.685
48.5000000 4.9000000  44.710
48.5000000 4.9166667  44.735
48.5000000 4.9333333  44.761
48.5000000 4.9500000  44.788
48.5000000 4.9666667  44.812
48.5000000 4.9833333  44.836
48.5000000 5.0000000  44.860
48.5000000 5.0166667  44.881
48.5000000 5.0333333  44.911
48.5000000 5.0500000  44.931
48.5000000 5.0666667  44.949
48.5000000 5.0833333  44.975
48.5000000 5.1000000  44.993
48.5000000 5.1166667  45.011
48.5000000 5.1333333  45.029
48.5000000 5.1500000  45.049
48.5000000 5.1666667  45.078
48.5000000 5.1833333  45.106
48.5000000 5.2000000  45.135
48.5000000 5.2166667  45.154
48.5000000 5.2333333  45.173
48.5000000 5.2500000  45.192
48.5000000 5.2666667  45.221
48.5000000 5.2833333  45.242
48.5000000 5.3000000  45.264
48.5000000 5.3166667  45.283
48.5000000 5.3333333  45.306
48.5000000 5.3500000  45.327
48.5000000 5.3666667  45.348
48.5000000 5.3833333  45.371
48.5000000 5.4000000  45.380
48.5000000 5.4166667  45.401
48.5000000 5.4333333  45.411
48.5000000 5.4500000  45.421
48.5000000 5.4666667  45.433
48.5000000 5.4833333  45.447
48.5000000 5.5000000  45.462
48.5000000 5.5166667  45.468
48.5000000 5.5333333  45.474
48.5000000 5.5500000  45.489
48.5000000 5.5666667  45.493
48.5000000 5.5833333  45.507
48.5000000 5.6000000  45.508
48.5000000 5.6166667  45.510
48.5000000 5.6333333  45.511
48.5000000 5.6500000  45.511
48.5000000 5.6666667  45.509
48.5000000 5.6833333  45.510
48.5000000 5.7000000  45.502
48.5000000 5.7166667  45.502
48.5000000 5.7333333  45.507
48.5000000 5.7500000  45.502
48.5000000 5.7666667  45.508
48.5000000 5.7833333  45.516
48.5000000 5.8000000  45.512
48.5000000 5.8166667  45.527
48.5000000 5.8333333  45.531
48.5000000 5.8500000  45.538
48.5000000 5.8666667  45.542
48.5000000 5.8833333  45.548
48.5000000 5.9000000  45.552
48.5000000 5.9166667  45.555
48.5000000 5.9333333  45.565
48.5000000 5.9500000  45.563
48.5000000 5.9666667  45.560
48.5000000 5.9833333  45.563
48.5000000 6.0000000  45.556
48.5000000 6.0166667  45.557
48.5000000 6.0333333  45.547
48.5000000 6.0500000  45.547
48.5000000 6.0666667  45.547
48.5000000 6.0833333  45.550
48.5000000 6.1000000  45.553
48.5000000 6.1166667  45.557
48.5000000 6.1333333  45.563
48.5000000 6.1500000  45.572
48.5000000 6.1666667  45.578
48.5000000 6.1833333  45.600
48.5000000 6.2000000  45.612
48.5000000 6.2166667  45.621
48.5000000 6.2333333  45.644
48.5000000 6.2500000  45.656
48.5000000 6.2666667  45.665
48.5000000 6.2833333  45.687
48.5000000 6.3000000  45.698
48.5000000 6.3166667  45.707
48.5000000 6.3333333  45.718
48.5000000 6.3500000  45.729
48.5000000 6.3666667  45.751
48.5000000 6.3833333  45.771
48.5000000 6.4000000  45.793
48.5000000 6.4166667  45.817
48.5000000 6.4333333  45.829
48.5000000 6.4500000  45.851
48.5000000 6.4666667  45.877
48.5000000 6.4833333  45.900
48.5000000 6.5000000  45.922
48.5000000 6.5166667  45.947
48.5000000 6.5333333  45.969
48.5000000 6.5500000  45.981
48.5000000 6.5666667  46.013
48.5000000 6.5833333  46.043
48.5000000 6.6000000  46.072
48.5000000 6.6166667  46.100
48.5000000 6.6333333  46.126
48.5000000 6.6500000  46.153
48.5000000 6.6666667  46.177
48.5000000 6.6833333  46.201
48.5000000 6.7000000  46.223
48.5000000 6.7166667  46.255
48.5000000 6.7333333  46.285
48.5000000 6.7500000  46.305
48.5000000 6.7666667  46.345
48.5000000 6.7833333  46.377
48.5000000 6.8000000  46.409
48.5000000 6.8166667  46.439
48.5000000 6.8333333  46.471
48.5000000 6.8500000  46.506
48.5000000 6.8666667  46.539
48.5000000 6.8833333  46.575
48.5000000 6.9000000  46.624
48.5000000 6.9166667  46.661
48.5000000 6.9333333  46.690
48.5000000 6.9500000  46.732
48.5000000 6.9666667  46.775
48.5000000 6.9833333  46.811
48.5000000 7.0000000  46.858
48.5166667 1.0000000  43.754
48.5166667 1.0166667  43.744
48.5166667 1.0333333  43.734
48.5166667 1.0500000  43.715
48.5166667 1.0666667  43.706
48.5166667 1.0833333  43.687
48.5166667 1.1000000  43.668
48.5166667 1.1166667  43.659
48.5166667 1.1333333  43.640
48.5166667 1.1500000  43.630
48.5166667 1.1666667  43.611
48.5166667 1.1833333  43.594
48.5166667 1.2000000  43.585
48.5166667 1.2166667  43.567
48.5166667 1.2333333  43.550
48.5166667 1.2500000  43.542
48.5166667 1.2666667  43.523
48.5166667 1.2833333  43.505
48.5166667 1.3000000  43.486
48.5166667 1.3166667  43.466
48.5166667 1.3333333  43.447
48.5166667 1.3500000  43.427
48.5166667 1.3666667  43.406
48.5166667 1.3833333  43.385
48.5166667 1.4000000  43.365
48.5166667 1.4166667  43.344
48.5166667 1.4333333  43.323
48.5166667 1.4500000  43.302
48.5166667 1.4666667  43.282
48.5166667 1.4833333  43.260
48.5166667 1.5000000  43.240
48.5166667 1.5166667  43.218
48.5166667 1.5333333  43.196
48.5166667 1.5500000  43.174
48.5166667 1.5666667  43.153
48.5166667 1.5833333  43.133
48.5166667 1.6000000  43.112
48.5166667 1.6166667  43.090
48.5166667 1.6333333  43.070
48.5166667 1.6500000  43.050
48.5166667 1.6666667  43.040
48.5166667 1.6833333  43.020
48.5166667 1.7000000  43.000
48.5166667 1.7166667  42.991
48.5166667 1.7333333  42.971
48.5166667 1.7500000  42.952
48.5166667 1.7666667  42.943
48.5166667 1.7833333  42.924
48.5166667 1.8000000  42.915
48.5166667 1.8166667  42.896
48.5166667 1.8333333  42.888
48.5166667 1.8500000  42.878
48.5166667 1.8666667  42.870
48.5166667 1.8833333  42.861
48.5166667 1.9000000  42.849
48.5166667 1.9166667  42.830
48.5166667 1.9333333  42.819
48.5166667 1.9500000  42.798
48.5166667 1.9666667  42.786
48.5166667 1.9833333  42.775
48.5166667 2.0000000  42.762
48.5166667 2.0166667  42.760
48.5166667 2.0333333  42.747
48.5166667 2.0500000  42.734
48.5166667 2.0666667  42.721
48.5166667 2.0833333  42.709
48.5166667 2.1000000  42.697
48.5166667 2.1166667  42.685
48.5166667 2.1333333  42.673
48.5166667 2.1500000  42.671
48.5166667 2.1666667  42.659
48.5166667 2.1833333  42.648
48.5166667 2.2000000  42.645
48.5166667 2.2166667  42.634
48.5166667 2.2333333  42.622
48.5166667 2.2500000  42.620
48.5166667 2.2666667  42.608
48.5166667 2.2833333  42.608
48.5166667 2.3000000  42.597
48.5166667 2.3166667  42.597
48.5166667 2.3333333  42.587
48.5166667 2.3500000  42.588
48.5166667 2.3666667  42.591
48.5166667 2.3833333  42.584
48.5166667 2.4000000  42.586
48.5166667 2.4166667  42.590
48.5166667 2.4333333  42.593
48.5166667 2.4500000  42.598
48.5166667 2.4666667  42.601
48.5166667 2.4833333  42.603
48.5166667 2.5000000  42.596
48.5166667 2.5166667  42.609
48.5166667 2.5333333  42.611
48.5166667 2.5500000  42.614
48.5166667 2.5666667  42.626
48.5166667 2.5833333  42.628
48.5166667 2.6000000  42.632
48.5166667 2.6166667  42.644
48.5166667 2.6333333  42.657
48.5166667 2.6500000  42.669
48.5166667 2.6666667  42.671
48.5166667 2.6833333  42.684
48.5166667 2.7000000  42.695
48.5166667 2.7166667  42.708
48.5166667 2.7333333  42.720
48.5166667 2.7500000  42.732
48.5166667 2.7666667  42.746
48.5166667 2.7833333  42.758
48.5166667 2.8000000  42.770
48.5166667 2.8166667  42.783
48.5166667 2.8333333  42.796
48.5166667 2.8500000  42.808
48.5166667 2.8666667  42.820
48.5166667 2.8833333  42.832
48.5166667 2.9000000  42.853
48.5166667 2.9166667  42.865
48.5166667 2.9333333  42.876
48.5166667 2.9500000  42.898
48.5166667 2.9666667  42.910
48.5166667 2.9833333  42.920
48.5166667 3.0000000  42.932
48.5166667 3.0166667  42.943
48.5166667 3.0333333  42.963
48.5166667 3.0500000  42.974
48.5166667 3.0666667  42.983
48.5166667 3.0833333  42.991
48.5166667 3.1000000  43.000
48.5166667 3.1166667  43.008
48.5166667 3.1333333  43.016
48.5166667 3.1500000  43.023
48.5166667 3.1666667  43.041
48.5166667 3.1833333  43.046
48.5166667 3.2000000  43.062
48.5166667 3.2166667  43.068
48.5166667 3.2333333  43.074
48.5166667 3.2500000  43.079
48.5166667 3.2666667  43.085
48.5166667 3.2833333  43.100
48.5166667 3.3000000  43.106
48.5166667 3.3166667  43.111
48.5166667 3.3333333  43.126
48.5166667 3.3500000  43.129
48.5166667 3.3666667  43.133
48.5166667 3.3833333  43.136
48.5166667 3.4000000  43.137
48.5166667 3.4166667  43.150
48.5166667 3.4333333  43.152
48.5166667 3.4500000  43.163
48.5166667 3.4666667  43.166
48.5166667 3.4833333  43.167
48.5166667 3.5000000  43.179
48.5166667 3.5166667  43.182
48.5166667 3.5333333  43.185
48.5166667 3.5500000  43.199
48.5166667 3.5666667  43.204
48.5166667 3.5833333  43.219
48.5166667 3.6000000  43.235
48.5166667 3.6166667  43.243
48.5166667 3.6333333  43.248
48.5166667 3.6500000  43.265
48.5166667 3.6666667  43.271
48.5166667 3.6833333  43.287
48.5166667 3.7000000  43.303
48.5166667 3.7166667  43.310
48.5166667 3.7333333  43.326
48.5166667 3.7500000  43.343
48.5166667 3.7666667  43.351
48.5166667 3.7833333  43.359
48.5166667 3.8000000  43.379
48.5166667 3.8166667  43.388
48.5166667 3.8333333  43.407
48.5166667 3.8500000  43.428
48.5166667 3.8666667  43.437
48.5166667 3.8833333  43.459
48.5166667 3.9000000  43.479
48.5166667 3.9166667  43.492
48.5166667 3.9333333  43.505
48.5166667 3.9500000  43.527
48.5166667 3.9666667  43.539
48.5166667 3.9833333  43.562
48.5166667 4.0000000  43.585
48.5166667 4.0166667  43.597
48.5166667 4.0333333  43.620
48.5166667 4.0500000  43.641
48.5166667 4.0666667  43.654
48.5166667 4.0833333  43.677
48.5166667 4.1000000  43.699
48.5166667 4.1166667  43.722
48.5166667 4.1333333  43.745
48.5166667 4.1500000  43.766
48.5166667 4.1666667  43.789
48.5166667 4.1833333  43.802
48.5166667 4.2000000  43.823
48.5166667 4.2166667  43.844
48.5166667 4.2333333  43.865
48.5166667 4.2500000  43.884
48.5166667 4.2666667  43.905
48.5166667 4.2833333  43.935
48.5166667 4.3000000  43.953
48.5166667 4.3166667  43.974
48.5166667 4.3333333  43.994
48.5166667 4.3500000  44.013
48.5166667 4.3666667  44.032
48.5166667 4.3833333  44.052
48.5166667 4.4000000  44.071
48.5166667 4.4166667  44.091
48.5166667 4.4333333  44.121
48.5166667 4.4500000  44.141
48.5166667 4.4666667  44.160
48.5166667 4.4833333  44.182
48.5166667 4.5000000  44.201
48.5166667 4.5166667  44.221
48.5166667 4.5333333  44.241
48.5166667 4.5500000  44.260
48.5166667 4.5666667  44.279
48.5166667 4.5833333  44.298
48.5166667 4.6000000  44.316
48.5166667 4.6166667  44.336
48.5166667 4.6333333  44.355
48.5166667 4.6500000  44.376
48.5166667 4.6666667  44.398
48.5166667 4.6833333  44.410
48.5166667 4.7000000  44.431
48.5166667 4.7166667  44.454
48.5166667 4.7333333  44.466
48.5166667 4.7500000  44.489
48.5166667 4.7666667  44.504
48.5166667 4.7833333  44.527
48.5166667 4.8000000  44.550
48.5166667 4.8166667  44.576
48.5166667 4.8333333  44.600
48.5166667 4.8500000  44.625
48.5166667 4.8666667  44.651
48.5166667 4.8833333  44.665
48.5166667 4.9000000  44.690
48.5166667 4.9166667  44.717
48.5166667 4.9333333  44.741
48.5166667 4.9500000  44.766
48.5166667 4.9666667  44.791
48.5166667 4.9833333  44.815
48.5166667 5.0000000  44.838
48.5166667 5.0166667  44.859
48.5166667 5.0333333  44.880
48.5166667 5.0500000  44.910
48.5166667 5.0666667  44.928
48.5166667 5.0833333  44.946
48.5166667 5.1000000  44.964
48.5166667 5.1166667  44.983
48.5166667 5.1333333  45.012
48.5166667 5.1500000  45.032
48.5166667 5.1666667  45.051
48.5166667 5.1833333  45.080
48.5166667 5.2000000  45.109
48.5166667 5.2166667  45.127
48.5166667 5.2333333  45.146
48.5166667 5.2500000  45.175
48.5166667 5.2666667  45.195
48.5166667 5.2833333  45.215
48.5166667 5.3000000  45.236
48.5166667 5.3166667  45.257
48.5166667 5.3333333  45.277
48.5166667 5.3500000  45.299
48.5166667 5.3666667  45.310
48.5166667 5.3833333  45.331
48.5166667 5.4000000  45.352
48.5166667 5.4166667  45.362
48.5166667 5.4333333  45.371
48.5166667 5.4500000  45.392
48.5166667 5.4666667  45.403
48.5166667 5.4833333  45.417
48.5166667 5.5000000  45.431
48.5166667 5.5166667  45.436
48.5166667 5.5333333  45.441
48.5166667 5.5500000  45.446
48.5166667 5.5666667  45.461
48.5166667 5.5833333  45.465
48.5166667 5.6000000  45.477
48.5166667 5.6166667  45.480
48.5166667 5.6333333  45.481
48.5166667 5.6500000  45.481
48.5166667 5.6666667  45.472
48.5166667 5.6833333  45.474
48.5166667 5.7000000  45.476
48.5166667 5.7166667  45.468
48.5166667 5.7333333  45.473
48.5166667 5.7500000  45.477
48.5166667 5.7666667  45.487
48.5166667 5.7833333  45.485
48.5166667 5.8000000  45.491
48.5166667 5.8166667  45.496
48.5166667 5.8333333  45.500
48.5166667 5.8500000  45.503
48.5166667 5.8666667  45.508
48.5166667 5.8833333  45.513
48.5166667 5.9000000  45.517
48.5166667 5.9166667  45.520
48.5166667 5.9333333  45.521
48.5166667 5.9500000  45.528
48.5166667 5.9666667  45.527
48.5166667 5.9833333  45.521
48.5166667 6.0000000  45.523
48.5166667 6.0166667  45.516
48.5166667 6.0333333  45.515
48.5166667 6.0500000  45.515
48.5166667 6.0666667  45.516
48.5166667 6.0833333  45.517
48.5166667 6.1000000  45.520
48.5166667 6.1166667  45.526
48.5166667 6.1333333  45.531
48.5166667 6.1500000  45.537
48.5166667 6.1666667  45.546
48.5166667 6.1833333  45.557
48.5166667 6.2000000  45.576
48.5166667 6.2166667  45.587
48.5166667 6.2333333  45.602
48.5166667 6.2500000  45.622
48.5166667 6.2666667  45.633
48.5166667 6.2833333  45.646
48.5166667 6.3000000  45.666
48.5166667 6.3166667  45.675
48.5166667 6.3333333  45.685
